Make,Model,Year,HP,Cylinders,Transmission,Drive Mode,Vehicle Style,MPG-H,MPG-C,Popularity,Price,HP_Type,Price_class
BMW,1 Series M,2011,335.0,6.0,MANUAL,rear wheel drive,Coupe,26,19,3916,46135,high,mid
BMW,1 Series,2011,300.0,6.0,MANUAL,rear wheel drive,Convertible,28,19,3916,40650,high,mid
BMW,1 Series,2011,300.0,6.0,MANUAL,rear wheel drive,Coupe,28,20,3916,36350,high,mid
BMW,1 Series,2011,230.0,6.0,MANUAL,rear wheel drive,Coupe,28,18,3916,29450,low,low
BMW,1 Series,2011,230.0,6.0,MANUAL,rear wheel drive,Convertible,28,18,3916,34500,low,mid
BMW,1 Series,2012,230.0,6.0,MANUAL,rear wheel drive,Coupe,28,18,3916,31200,low,mid
BMW,1 Series,2012,300.0,6.0,MANUAL,rear wheel drive,Convertible,26,17,3916,44100,high,mid
BMW,1 Series,2012,300.0,6.0,MANUAL,rear wheel drive,Coupe,28,20,3916,39300,high,mid
BMW,1 Series,2012,230.0,6.0,MANUAL,rear wheel drive,Convertible,28,18,3916,36900,low,mid
BMW,1 Series,2013,230.0,6.0,MANUAL,rear wheel drive,Convertible,27,18,3916,37200,low,mid
BMW,1 Series,2013,300.0,6.0,MANUAL,rear wheel drive,Coupe,28,20,3916,39600,high,mid
BMW,1 Series,2013,230.0,6.0,MANUAL,rear wheel drive,Coupe,28,19,3916,31500,low,mid
BMW,1 Series,2013,300.0,6.0,MANUAL,rear wheel drive,Convertible,28,19,3916,44400,high,mid
BMW,1 Series,2013,230.0,6.0,MANUAL,rear wheel drive,Convertible,28,19,3916,37200,low,mid
BMW,1 Series,2013,320.0,6.0,MANUAL,rear wheel drive,Convertible,25,18,3916,48250,high,mid
BMW,1 Series,2013,320.0,6.0,MANUAL,rear wheel drive,Coupe,28,20,3916,43550,high,mid
Audi,100,1992,172.0,6.0,MANUAL,front wheel drive,Sedan,24,17,3105,2000,low,low
Audi,100,1992,172.0,6.0,AUTOMATIC,all wheel drive,Wagon,20,16,3105,2000,low,low
Audi,100,1992,172.0,6.0,MANUAL,all wheel drive,Sedan,21,16,3105,2000,low,low
Audi,100,1993,172.0,6.0,MANUAL,front wheel drive,Sedan,24,17,3105,2000,low,low
Audi,100,1993,172.0,6.0,AUTOMATIC,all wheel drive,Wagon,20,16,3105,2000,low,low
Audi,100,1993,172.0,6.0,MANUAL,all wheel drive,Sedan,21,16,3105,2000,low,low
Audi,100,1994,172.0,6.0,AUTOMATIC,front wheel drive,Wagon,21,16,3105,2000,low,low
Audi,100,1994,172.0,6.0,MANUAL,all wheel drive,Sedan,22,16,3105,2000,low,low
Audi,100,1994,172.0,6.0,MANUAL,front wheel drive,Sedan,22,17,3105,2000,low,low
Audi,100,1994,172.0,6.0,AUTOMATIC,front wheel drive,Sedan,22,16,3105,2000,low,low
Audi,100,1994,172.0,6.0,AUTOMATIC,all wheel drive,Wagon,21,16,3105,2000,low,low
FIAT,124 Spider,2017,160.0,4.0,MANUAL,rear wheel drive,Convertible,35,26,819,27495,low,low
FIAT,124 Spider,2017,160.0,4.0,MANUAL,rear wheel drive,Convertible,35,26,819,24995,low,low
FIAT,124 Spider,2017,160.0,4.0,MANUAL,rear wheel drive,Convertible,35,26,819,28195,low,low
Mercedes-Benz,190-Class,1991,130.0,4.0,MANUAL,rear wheel drive,Sedan,26,18,617,2000,low,low
Mercedes-Benz,190-Class,1991,158.0,6.0,MANUAL,rear wheel drive,Sedan,25,17,617,2000,low,low
Mercedes-Benz,190-Class,1992,158.0,6.0,MANUAL,rear wheel drive,Sedan,25,17,617,2000,low,low
Mercedes-Benz,190-Class,1992,130.0,4.0,MANUAL,rear wheel drive,Sedan,26,18,617,2000,low,low
Mercedes-Benz,190-Class,1993,130.0,4.0,MANUAL,rear wheel drive,Sedan,26,18,617,2000,low,low
